committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374825,17,17-03-16958-25379,1670648,ORG,ORGANIZATION,,,ACTBLUE TECHNICAL SERVICES,MA,,,,,SERVICE FEE,,,2022-11-28 00:00:00,1.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,CAMBRIDGE,02138,OTHER,,2022,SB,4010620231666412156,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374825,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374825,17,17-03-16922-25365,1670648,ORG,ORGANIZATION,,,COURT LIQUORS,NJ,,,,,FOOD & BEVERAGE,X,,2022-11-28 00:00:00,110.81,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,LONG BRANCH,07740,OTHER,,2022,SB,4010620231666412155,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374825,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374824,17,17-03-16922-25371,1670648,ORG,ORGANIZATION,,,SPEEDWAY,NJ,,,,,TRAVEL EXPENSE,X,,2022-11-28 00:00:00,32.67,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,WEST LONG BRANCH,07764,MATERIALS,,2022,SB,4010620231666412154,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374824,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374824,17,17-03-16922-25363,1670648,ORG,ORGANIZATION,,,NAUVOO GRILL,NJ,,,,,FOOD & BEVERAGE,X,,2022-11-28 00:00:00,897.38,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,FAIR HAVEN,07704,OTHER,,2022,SB,4010620231666412153,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374824,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374824,17,17-03-16922-25364,1670648,ORG,ORGANIZATION,,,COURT LIQUORS,NJ,,,,,FOOD & BEVERAGE,X,,2022-11-28 00:00:00,275.97,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,LONG BRANCH,07740,OTHER,,2022,SB,4010620231666412152,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374824,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374823,17,17-03-16922-25360,1670648,ORG,ORGANIZATION,,,TWIN ROCKS SPRING WATER,NJ,,,,,OFFICE SUPPLIES,X,,2022-11-28 00:00:00,21.98,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,LAKEWOOD,08701,ADMINISTRATIVE,,2022,SB,4010620231666412151,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374823,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374823,17,17-03-16922-25366,1670648,ORG,ORGANIZATION,,,CRAVINGS GOURMET,NJ,,,,,FOOD & BEVERAGE,X,,2022-11-28 00:00:00,60.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,ALLENHURST,07711,OTHER,,2022,SB,4010620231666412150,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374823,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374823,17,17-03-16922-25367,1670648,ORG,ORGANIZATION,,,THE BUTCHER BLOCK,NJ,,,,,FOOD & BEVERAGE,X,,2022-11-28 00:00:00,7091.01,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,LONG BRANCH,07740,OTHER,,2022,SB,4010620231666412149,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374823,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374822,17,17-03-16922-25368,1670648,ORG,ORGANIZATION,,,US POSTAL SERVICE,NJ,,,,,POSTAGE,X,,2022-11-28 00:00:00,60.00,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,LONG BRANCH,07740,ADMINISTRATIVE,,2022,SB,4010620231666412148,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374822,Operating Expenditures,,,,,,
C00226928,PALLONE FOR CONGRESS,2022,30G,202212089550374822,17,17-03-16922-25370,1670648,ORG,ORGANIZATION,,,UNITED PARCEL SERVICE,GA,,,,,DELIVERY SERVICES,X,,2022-11-28 00:00:00,79.48,,,,,,,,,,,,,,,,,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,17-03-16922-0000,SB17,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577635,ATLANTA,30328,OTHER,,2022,SB,4010620231666412147,https://docquery.fec.gov/cgi-bin/fecimg/?202212089550374822,Operating Expenditures,,,,,,
