committee_id,committee_name,report_year,report_type,image_number,line_number,transaction_id,file_number,entity_type,entity_type_desc,unused_recipient_committee_id,recipient_committee_id,recipient_name,recipient_state,beneficiary_committee_name,national_committee_nonfederal_account,disbursement_type,disbursement_type_description,disbursement_description,memo_code,memo_code_full,disbursement_date,disbursement_amount,candidate_office,candidate_office_description,candidate_office_district,candidate_id,candidate_name,candidate_first_name,candidate_last_name,candidate_middle_name,candidate_prefix,candidate_suffix,candidate_office_state,candidate_office_state_full,election_type,election_type_full,fec_election_type_desc,fec_election_year,amendment_indicator,amendment_indicator_desc,schedule_type_full,load_date,original_sub_id,back_reference_transaction_id,back_reference_schedule_id,semi_annual_bundled_refund,payee_last_name,payee_first_name,payee_middle_name,category_code,category_code_full,conduit_committee_name,conduit_committee_street1,conduit_committee_street2,conduit_committee_city,conduit_committee_state,conduit_committee_zip,spender_committee_type,spender_committee_org_type,spender_committee_designation,filing_form,link_id,recipient_city,recipient_zip,disbursement_purpose_category,memo_text,two_year_transaction_period,schedule_type,sub_id,pdf_url,line_number_label,payee_prefix,payee_suffix,payee_employer,payee_occupation,ref_disp_excess_flg,comm_dt
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556629,17,SB17.221398,1668322,ORG,ORGANIZATION,,,AMERICAN EXPRESS,NJ,,,,,CREDIT CARD PAYMENT: SEE ITEMIZATIONS IF REQUIRED,,,2022-11-28 00:00:00,17787.92,,,,,,,,,,,,,G2022,,GENERAL,2022,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,NEWARK,07101,OTHER,,2022,SB,4010620231666406784,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556629,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556647,17,SB17.221411,1668322,ORG,ORGANIZATION,,,GOYV LLC,NJ,,,,,STRATEGY CONSULTING,,,2022-11-21 00:00:00,10000.00,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ATLANTIC CITY,08401,OTHER,,2022,SB,4010620231666406836,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556647,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556672,17,SB17.221438,1668322,ORG,ORGANIZATION,,,THE STANTON GROUP LLC,VA,,,,,FUNDRAISING CONSULTING,,,2022-11-18 00:00:00,3000.00,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ALEXANDRIA,22305,OTHER,,2022,SB,4010620231666406911,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556672,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556636,17,SB17.221401,1668322,ORG,ORGANIZATION,,,CASTLE CONSULTANTS LLC,MA,,,,,FUNDRAISING CONSULTING & EXPENSES,,,2022-11-18 00:00:00,3880.40,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,NORTON,02766,MATERIALS,,2022,SB,4010620231666406805,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556636,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556671,17,SB17.221439,1668322,ORG,ORGANIZATION,,,THE STANTON GROUP LLC,VA,,,,,FUNDRAISING CONSULTING,,,2022-11-17 00:00:00,3100.00,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ALEXANDRIA,22305,OTHER,,2022,SB,4010620231666406910,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556671,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556668,17,SB17.221435,1668322,ORG,ORGANIZATION,,,TARGETED VICTORY LLC,VA,,,,,DIGITAL CONSULTING/ONLINE ADVERTISING,,,2022-11-17 00:00:00,3253.04,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ARLINGTON,22201,OTHER,,2022,SB,4010620231666406901,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556668,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556660,17,SB17.221424,1668322,ORG,ORGANIZATION,,,RED CURVE SOLUTIONS,MA,,,,,COMPLIANCE CONSULTING & POSTAGE,,,2022-11-17 00:00:00,2338.45,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,BEVERLY,01915,ADMINISTRATIVE,,2022,SB,4010620231666406877,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556660,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556654,17,SB17.221419,1668322,ORG,ORGANIZATION,,,PAYCHEX,NY,,,,,PAYROLL FEES,,,2022-11-15 00:00:00,62.20,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ROCHESTER,14625,OTHER,,2022,SB,4010620231666406859,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556654,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556654,17,SB17.221418,1668322,ORG,ORGANIZATION,,,PAYCHEX,NY,,,,,PAYROLL TAXES,,,2022-11-15 00:00:00,1180.88,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,,,,,,,,,,,,H,,P,F3,4120820221633577191,ROCHESTER,14625,OTHER,,2022,SB,4010620231666406858,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556654,Operating Expenditures,,,,,,
C00661868,VAN DREW FOR CONGRESS,2022,30G,202212089547556645,17,SB17.221432,1668322,IND,INDIVIDUAL,,,"FILAN, RON",NJ,,,,,PAYROLL,,,2022-11-14 00:00:00,2631.72,,,,,,,,,,,,,P2024,,PRIMARY,2024,A,ADD,ITEMIZED DISBURSEMENTS,2023-01-07 04:06:18,,,,0.00,FILAN,RON,,,,,,,,,,H,,P,F3,4120820221633577191,OCEAN VIEW,08230,OTHER,,2022,SB,4010620231666406831,https://docquery.fec.gov/cgi-bin/fecimg/?202212089547556645,Operating Expenditures,,,,,,
